COD_DISCIPLINA,NOME_DISCIPLINA,PERIODO_IDEAL,TIPO_DISCIPLINA,CH_TOTAL,DESCR_SITUACAO
CI1100,ESTÁGIO OBRIGATÓRIO,,Obrigatoria,220,ATIVA
CE009,INTRODUÇÃO À ESTATÍSTICA,3,Obrigatoria,60,ATIVA
CI1001,PROGRAMAÇÃO I,2,Obrigatoria,60,ATIVA
CI1002,PROGRAMAÇÃO II,3,Obrigatoria,60,ATIVA
CI1003,INTRODUÇÃO À CIÊNCIA DA COMPUTAÇÃO,1,Obrigatoria,60,ATIVA
CI1005,QUALIDADE DE SOFTWARE,8,Obrigatoria,60,ATIVA
CI1007,SEGURANÇA COMPUTACIONAL,7,Obrigatoria,60,ATIVA
CI1055,ALGORITMOS E ESTRUTURA DE DADOS I,1,Obrigatoria,60,ATIVA
CI1056,ALGORITMOS E ESTRUTURA DE DADOS II,2,Obrigatoria,60,ATIVA
CI1057,ALGORITMOS E ESTRUTURAS DE DADOS III,3,Obrigatoria,60,ATIVA
CI1058,REDE DE COMPUTADORES I,5,Obrigatoria,60,ATIVA
CI1059,INTRODUÇÃO À TEORIA DA COMPUTAÇÃO,4,Obrigatoria,60,ATIVA
CI1061,REDES DE COMPUTADORES II,6,Obrigatoria,60,ATIVA
CI1062,PARADIGMAS DE PROGRAMAÇÃO,4,Obrigatoria,60,ATIVA
CI1064,SOFTWARE BÁSICO,4,Obrigatoria,60,ATIVA
CI1065,ALGORITMOS E TEORIA DOS GRAFOS,5,Obrigatoria,60,ATIVA
CI1068,CIRCUITOS DIGITAIS,1,Obrigatoria,60,ATIVA
CI1162,ENGENHARIA DE REQUISITOS,5,Obrigatoria,60,ATIVA
CI1163,DESIGN DE SOFTWARE,6,Obrigatoria,60,ATIVA
CI1164,INTRODUÇÃO À COMPUTAÇÃO CIENTÍFICA,4,Obrigatoria,60,ATIVA
CI1165,ANÁLISE DE ALGORITMOS,4,Obrigatoria,60,ATIVA
CI1209,INTELIGÊNCIA ARTIFICIAL,6,Obrigatoria,60,ATIVA
CI1210,PROJETOS DIGITAIS E MICROPROCESSADORES,2,Obrigatoria,60,ATIVA
CI1211,CONSTRUÇÃO DE COMPILADORES,8,Obrigatoria,60,ATIVA
CI1212,ARQUITETURA DE COMPUTADORES,3,Obrigatoria,60,ATIVA
CI1215,SISTEMAS OPERACIONAIS,5,Obrigatoria,60,ATIVA
CI1218,BANCO DE DADOS,6,Obrigatoria,60,ATIVA
CI1221,ENGENHARIA DE SOFTWARE,7,Obrigatoria,60,ATIVA
CI1237,MATEMÁTICA DISCRETA,3,Obrigatoria,60,ATIVA
CI1238,OTIMIZAÇÃO,5,Obrigatoria,60,ATIVA
CI1316,PROGRAMAÇÃO PARALELA,6,Obrigatoria,60,ATIVA
CI1350,INTERAÇÃO HUMANO-COMPUTADOR,4,Obrigatoria,60,ATIVA
CMA111,CÁLCULO 1A,1,Obrigatoria,90,ATIVA
CMA211,CÁLCULO 2A,2,Obrigatoria,90,ATIVA
CM303,INTRODUÇÃO À GEOMETRIA ANALÍTICA E ÁLGEBRA LINEAR,2,Obrigatoria,60,ATIVA
CM304,COMPLEMENTOS DE MATEMÁTICA,1,Obrigatoria,60,ATIVA
CI087,TOPICOS EM BANCO DE DADOS,,Optativa,60,ATIVA
CI1008,INTRODUÇÃO A SISTEMAS EMBARCADOS,,Optativa,60,ATIVA
CI1009,COMPUTAÇÃO PARALELA COM GPUS,,Optativa,60,ATIVA
CI1010,PROGRAMAÇÃO WEB,,Optativa,60,ATIVA
CI1011,RECONHECIMENTO DE PADRÕES,,Optativa,60,ATIVA
CI1012,ALGORITMOS ALEATORIZADOS,,Optativa,60,ATIVA
CI1013,GRANDES IDEIAS DA COMPUTAÇÃO TEÓRICA,,Optativa,60,ATIVA
CI1014,REDES SOCIAIS E ECONÔMICAS,,Optativa,60,ATIVA
CI1015,TESTE DE SOFTWARE,,Optativa,60,ATIVA
CI1016,TÉCNICAS EM MODELAGEM DE APLICAÇÕES,,Optativa,60,ATIVA
CI1017,CRIPTOGRAFIA,,Optativa,60,ATIVA
CI1020,ROBÓTICA MÓVEL,,Optativa,60,ATIVA
CI1021,PROGRAMAÇÃO DE DISPOSITIVOS MÓVEIS,,Optativa,60,ATIVA
CI1022,PROJETO DE SISTEMAS DIGITAIS,,Optativa,60,ATIVA
CI1023,PROJETO DE SISTEMAS EMBARCADOS,,Optativa,60,ATIVA
CI1025,DISPOSITIVOS REPROGRAMÁVEIS,,Optativa,60,ATIVA
CI1026,VISÃO COMPUTACIONAL E PERCEPÇÃO,,Optativa,60,ATIVA
CI1028,BIOMETRIA E VIGILÂNCIA POR VISÃO COMPUTACIONAL,,Optativa,60,ATIVA
CI1084,TÓPICOS EM TEORIA DOS GRAFOS,,Optativa,60,ATIVA
CI1086,ARQUITETURAS DE ALTO DESEMPENHO,,Optativa,60,ATIVA
CI1087,TÓPICOS EM BANCO DE DADOS,,Optativa,60,ATIVA
CI1088,SISTEMAS DISTRIBUÍDOS,,Optativa,60,ATIVA
CI1090,TÓPICOS EM ENGENHARIA DE SOFTWARE,,Optativa,60,ATIVA
CI1091,AVALIAÇÃO DE DESEMPENHO,,Optativa,60,ATIVA
CI1170,TÓPICOS EM COMPUTAÇÃO BIOINSPIRADA,,Optativa,60,ATIVA
CI1171,APRENDIZADO DE MÁQUINA,,Optativa,60,ATIVA
CI1173,COMPUTAÇÃO GRÁFICA,,Optativa,60,ATIVA
CI1175,OFICINA DE COMPUTAÇÃO,,Optativa,60,ATIVA
CI1176,TÓPICOS EM VISÃO COMPUTACIONAL,,Optativa,60,ATIVA
CI1177,TÓPICOS EM COMPUTAÇÃO GRÁFICA,,Optativa,60,ATIVA
CI1204,INOVAÇÃO TECNOLÓGICA E GESTÃO DE PROJETOS,,Optativa,60,ATIVA
CI1205,ADMINISTRAÇÃO DE PRODUÇÃO PARA INFORMÁTICA,,Optativa,60,ATIVA
CI1219,SISTEMAS AVANÇADOS DE BANCO DE DADOS,,Optativa,60,ATIVA
CI1220,TEORIA DE SISTEMAS,,Optativa,60,ATIVA
CI1311,FUNDAMENTOS LÓGICOS DA INTELIGÊNCIA ARTIFICIAL,,Optativa,60,ATIVA
CI1315,PROJETO DE SISTEMAS OPERACIONAIS,,Optativa,60,ATIVA
CI1338,GEOMETRIA COMPUTACIONAL,,Optativa,60,ATIVA
CI1339,COMPLEXIDADE COMPUTACIONAL,,Optativa,60,ATIVA
CI1351,TÓPICOS EM INTERAÇÃO HUMANO-COMPUTADOR,,Optativa,60,ATIVA
CI1352,DESIGN DE SISTEMAS SOCIOTÉCNICOS,,Optativa,60,ATIVA
CI1353,PRÁTICA EM DESENVOLVIMENTO DE SOFTWARE,,Optativa,61,ATIVA
CI1355,TÓPICOS EM ALGORITMOS,,Optativa,60,ATIVA
CI1360,REDES MÓVEIS,,Optativa,60,ATIVA
CI1365,TÓPICOS EM REDES DE COMPUTADORES,,Optativa,60,ATIVA
CI1366,GERENCIAMENTO DE REDES DE COMPUTADORES,,Optativa,60,ATIVA
CI1367,TÓPICOS EM SIMULAÇÃO DE SISTEMAS COMPUTACIONAIS,,Optativa,60,ATIVA
CI1394,PROCESSAMENTO DE IMAGENS,,Optativa,60,ATIVA
CI1397,SISTEMAS TUTORES INTELIGENTES,,Optativa,60,ATIVA
CI171,APRENDIZADO DE MÁQUINAS,,Optativa,60,ATIVA
CI1070,TRABALHO DE CONCLUSÃO DE CURSO 1 EM ENGENHARIA DE SOFTWARE,7,Optativa,150,ATIVA
CI1072,TRABALHO DE CONCLUSÃO DE CURSO 1 EM BANCOS DE DADOS,7,Optativa,150,ATIVA
CI1074,TRABALHO DE CONCLUSÃO DE CURSO 1 EM REDES DE COMPUTADORES,7,Optativa,150,ATIVA
CI1076,TRABALHO DE CONCLUSÃO DE CURSO 1 EM ADMINISTRAÇÃO DE INFORMÁTICA,7,Optativa,150,ATIVA
CI1078,TRABALHO DE CONCLUSÃO DE CURSO 1 EM COMPUTAÇÃO GRÁFICA,7,Optativa,150,ATIVA
CI1080,TRABALHO DE CONCLUSÃO DE CURSO 1 EM INTELIGÊNCIA ARTIFICIAL,7,Optativa,150,ATIVA
CI1082,TRABALHO DE CONCLUSÃO DE CURSO 1 EM ORGANIZAÇÃO E ARQUITETURA DE COMPUTADORES,7,Optativa,150,ATIVA
CI1098,TRABALHO DE CONCLUSÃO DE CURSO 1 EM INFORMÁTICA NA EDUCAÇÃO,7,Optativa,150,ATIVA
CI1250,TRABALHO DE CONCLUSÃO DE CURSO 1 EM ALGORITMOS E GRAFOS,7,Optativa,150,ATIVA
CI1252,TRABALHO DE CONCLUSÃO DE CURSO 1 EM TEORIA DA COMPUTAÇÃO,7,Optativa,150,ATIVA
CI1254,TRABALHO DE CONCLUSÃO DE CURSO 1 EM SISTEMAS DIGITAIS,7,Optativa,150,ATIVA
CI1256,TRABALHO DE CONCLUSÃO DE CURSO I EM SISTEMAS OPERACIONAIS,7,Optativa,150,ATIVA
CI1258,TRABALHO DE CONCLUSÃO DE CURSO I EM INTERAÇÃO HUMANO-COMPUTADOR,7,Optativa,150,ATIVA
CI1260,TRABALHO DE CONCLUSÃO DE CURSO 1 EM PROCESSAMENTO DE IMAGENS,7,Optativa,150,ATIVA
CI1071,TRABALHO DE CONCLUSÃO DE CURSO 2 EM ENGENHARIA DE SOFTWARE,8,Optativa,150,ATIVA
CI1073,TRABALHO DE CONCLUSÃO DE CURSO 2 EM BANCOS DE DADOS,8,Optativa,150,ATIVA
CI1075,TRABALHO DE CONCLUSÃO DE CURSO 2 EM REDES DE COMPUTADORES,8,Optativa,150,ATIVA
CI1077,TRABALHO DE CONCLUSÃO DE CURSO 2 EM ADMINISTRAÇÃO DE INFORMÁTICA,8,Optativa,150,ATIVA
CI1079,TRABALHO DE CONCLUSÃO DE CURSO 2 EM COMPUTAÇÃO GRÁFICA,8,Optativa,150,ATIVA
CI1081,TRABALHO DE CONCLUSÃO DE CURSO 2 EM INTELIGÊNCIA ARTIFICIAL,8,Optativa,150,ATIVA
CI1083,TRABALHO DE CONCLUSÃO DE CURSO 2 EM ORGANIZAÇÃO E ARQUITETURA DE COMPUTADORES,8,Optativa,150,ATIVA
CI1099,TRABALHO DE CONCLUSÃO DE CURSO 2 EM INFORMÁTICA NA EDUCAÇÃO,8,Optativa,150,ATIVA
CI1251,TRABALHO DE CONCLUSÃO DE CURSO 2 EM ALGORITMOS E GRAFOS,8,Optativa,150,ATIVA
CI1253,TRABALHO DE CONCLUSÃO DE CURSO 2 EM TEORIA DA COMPUTAÇÃO,8,Optativa,150,ATIVA
CI1255,TRABALHO DE CONCLUSÃO DE CURSO 2 EM SISTEMAS DIGITAIS,8,Optativa,150,ATIVA
CI1257,TRABALHO DE CONCLUSÃO DE CURSO 2 EM SISTEMAS OPERACIONAIS,8,Obrigatoria,150,ATIVA
CI1259,TRABALHO DE CONCLUSÃO DE CURSO 2 EM INTERAÇÃO HUMANO-COMPUTADOR,8,Optativa,150,ATIVA
CI1261,TRABALHO DE CONCLUSÃO DE CURSO 2 EM PROCESSAMENTO DE IMAGENS,8,Optativa,150,ATIVA